id,pred_label,pred_score,top2_label,top2_score,weak_label,rule_hits,uncertainty,score_gap,selection_reason,subject_summary,content_summary,manual_label,notes
H3dqxTPFzZ,advertisement,0.2625539293882629,impersonation,0.2625160907371296,uncertain,"{""weak_label"": ""uncertain"", ""weak_rule_matches"": ""{\""advertisement\"": [\""url\""]}"", ""risk_flags"": {}}",0.7374460706117372,3.783865113327067e-05,long_tail_priority,Today's Sex-Bestsellers,"Stop looking for the greatest pill for ED, 
because we have what you need. Only this treatment is 
helping almost 99% of males around the world. 
Buy it immediately and feel yourself like a natural",advertisement,
jaosJ934XC,advertisement,0.4392295798649921,impersonation,0.4390072599620038,uncertain,"{""weak_label"": ""uncertain"", ""weak_rule_matches"": ""{\""advertisement\"": [\""url\""], \""impersonation\"": [\""from\""]}"", ""risk_flags"": {}}",0.5607704201350079,0.0002223199029883216,long_tail_priority,Best Ranking Journal,"This email was sent by rediffmaildata163@gmail.comDisplay it in your web browser | Unsubscribe from this list


International Organization of Scientific Research (IOSR)
Call For Paper,

Dear Si",advertisement,
xtJd9zpTEO,advertisement,0.2830094045692855,impersonation,0.2824595376797696,uncertain,"{""weak_label"": ""uncertain"", ""weak_rule_matches"": ""{\""impersonation\"": [\""from\""]}"", ""risk_flags"": {}}",0.7169905954307145,0.0005498668895159153,long_tail_priority,"daisy.dingof Re, where they stillbedaisy.dingnfidence in your fidelitydaisy.dingt us pledge the ring, but","------------------ 原始邮件 ------------------



发件人: ""Aundmwml""<odxixyfswy@outlook.com>;

发送时间: 2019年11月1日 15

收件人: ""daisy.ding""< Tvyp@lx.com>;



主题: daisy.dinglaw.""""There is no harm inda",impersonation,
TxlPibzLjX,advertisement,0.2516148487848494,impersonation,0.2504537203111479,uncertain,"{""weak_label"": ""uncertain"", ""weak_rule_matches"": ""{}"", ""risk_flags"": {}}",0.7483851512151505,0.0011611284737015337,long_tail_priority,瞿江在488839475,"今天本姑娘心情好，想找人聊天，聊的好做你女朋友，加我QQ1514687804















































 There had been no added bitterness needed in the cup which he dra",black_industry_or_policy_violation,
IbDUk2zwnN,advertisement,0.3346989963183891,malicious_link_or_attachment,0.332721368416386,uncertain,"{""weak_label"": ""uncertain"", ""weak_rule_matches"": ""{\""advertisement\"": [\""url\""]}"", ""risk_flags"": {}}",0.6653010036816109,0.0019776279020031207,long_tail_priority,All-new Tech Transfer Book of Best Practices - a must-have for your TTO library,The all-new Tech Transfer Book of Best Practices has just been released. This must-have 729-page resource is chock-full of how-to strategies and case studies covering the most critical challen,malicious_link_or_attachment,
9egXAGxcHC,advertisement,0.3816710836870392,black_industry_or_policy_violation,0.3792833898761975,uncertain,"{""weak_label"": ""uncertain"", ""weak_rule_matches"": ""{}"", ""risk_flags"": {}}",0.6183289163129608,0.002387693810841751,boundary_focus,戚声履AMv17:15,,black_industry_or_policy_violation,
52rfsglBVM,advertisement,0.3816710836870392,black_industry_or_policy_violation,0.3792833898761975,uncertain,"{""weak_label"": ""uncertain"", ""weak_rule_matches"": ""{}"", ""risk_flags"": {}}",0.6183289163129608,0.002387693810841751,boundary_focus,15:24LWWJsW,,black_industry_or_policy_violation,
bHqgOBpZno,advertisement,0.3901756148344849,impersonation,0.3870869268584068,uncertain,"{""weak_label"": ""uncertain"", ""weak_rule_matches"": ""{\""advertisement\"": [\""url\""]}"", ""risk_flags"": {}}",0.6098243851655151,0.003088687976078086,long_tail_priority,"12月广州, EI, 索引,第二届ICMEM19","ICMEM2019 Mechanical Engineering and Materials 


Virtual Design and Design Visualization


Structural Materials


.Functional Materials



Production planning and control


Facilities",advertisement,
qrnsEHmtTO,advertisement,0.2742500792804301,malicious_link_or_attachment,0.270888298236743,uncertain,"{""weak_label"": ""uncertain"", ""weak_rule_matches"": ""{\""advertisement\"": [\""url\""]}"", ""risk_flags"": {}}",0.7257499207195699,0.0033617810436871176,long_tail_priority,Sponsor The IGS TC-Stabilization & TC-Hydraulics Prague Workshops!,"View this email online or on your mobile phone! Click here 














Sponsorships Still Available for IGS Prague Workshops!

We are less than 2 weeks away from the IG",phishing,
D93RtZgJX7,advertisement,0.3453437556011376,black_industry_or_policy_violation,0.341266880704669,uncertain,"{""weak_label"": ""uncertain"", ""weak_rule_matches"": ""{\""impersonation\"": [\""from\""]}"", ""risk_flags"": {}}",0.6546562443988624,0.00407687489646863,boundary_focus,锎谱3%（嘌）电V；137-6496-8840  繆经理    16:23,"电微同号：缪经理
137－6496－8840
业务QQ；2783033341
打扰请谅解！",black_industry_or_policy_violation,
